customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,No,Yes,61,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,57.06,3480.66,No
CUST00001,Female,0,No,No,68,No,Yes,No,No internet service,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,111.08,7553.44,Yes
CUST00002,Male,0,No,No,62,No,No,No,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,71.77,4449.74,No
CUST00003,Male,1,Yes,No,1,No,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),20.1,20.1,Yes
CUST00004,Male,0,Yes,Yes,53,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,89.88,4763.64,Yes
CUST00005,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,71.35,1070.25,Yes
CUST00006,Male,1,Yes,No,54,No,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,51.71,2792.34,No
CUST00007,Male,0,No,Yes,42,Yes,Yes,DSL,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),22.04,925.68,No
CUST00008,Male,1,No,Yes,60,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),39.87,2392.2,No
CUST00009,Female,1,No,Yes,37,No,No,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,36.16,1337.92,No
CUST00010,Male,0,No,Yes,44,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),78.29,3444.76,No
CUST00011,Male,1,Yes,No,50,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),96.96,4848.0,Yes
CUST00012,Male,0,No,Yes,41,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,43.46,1781.86,No
CUST00013,Male,0,Yes,No,23,No,Yes,No,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,89.77,2064.71,No
CUST00014,Female,0,No,Yes,29,No,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),109.98,3189.42,No
CUST00015,Male,1,No,Yes,36,Yes,No phone service,No,No internet service,Yes,No,No,No,Yes,One year,No,Electronic check,82.16,2957.76,No
CUST00016,Female,0,No,No,52,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),97.56,5073.12,No
CUST00017,Female,0,Yes,No,62,No,No,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.42,2506.04,Yes
CUST00018,Female,0,Yes,No,10,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,27.49,274.9,No
CUST00019,Male,0,No,Yes,22,No,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,56.54,1243.88,No
CUST00020,Female,0,No,Yes,49,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,One year,No,Mailed check,90.9,4454.1,No
CUST00021,Male,0,No,No,54,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.61,4784.94,No
CUST00022,Female,0,Yes,No,54,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),115.51,6237.54,No
CUST00023,Female,0,Yes,Yes,3,No,No phone service,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,83.0,249.0,No
CUST00024,Female,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),61.13,3239.89,No
CUST00025,Female,0,No,No,60,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,No,Two year,Yes,Mailed check,99.71,5982.6,No
CUST00026,Female,0,Yes,Yes,4,No,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,35.31,141.24,No
CUST00027,Female,1,No,No,17,No,No phone service,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,101.3,1722.1,No
CUST00028,Female,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,56.59,2433.37,No
CUST00029,Female,1,No,Yes,30,No,No,DSL,No internet service,Yes,No,Yes,No,Yes,Two year,No,Electronic check,35.4,1062.0,No
CUST00030,Male,0,No,Yes,20,No,No phone service,DSL,No internet service,No internet service,No,No,Yes,No,One year,No,Electronic check,36.21,724.2,No
CUST00031,Male,0,Yes,No,46,No,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,118.36,5444.56,No
CUST00032,Female,0,No,No,29,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.32,2387.28,Yes
CUST00033,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),37.43,2021.22,No
CUST00034,Female,0,No,No,67,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),46.86,3139.62,No
CUST00035,Male,0,Yes,Yes,68,Yes,No phone service,No,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),57.21,3890.28,No
CUST00036,Female,0,No,Yes,40,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),25.59,1023.6,Yes
CUST00037,Male,0,Yes,No,44,No,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,30.84,1356.96,No
CUST00038,Male,0,Yes,No,29,No,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),96.18,2789.22,No
CUST00039,Male,0,No,No,44,Yes,No,DSL,No,No,No internet service,No,No,No,One year,No,Electronic check,98.69,4342.36,No
CUST00040,Male,0,Yes,No,44,No,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,118.82,5228.08,Yes
CUST00041,Male,0,No,Yes,44,No,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,26.76,1177.44,No
CUST00042,Female,1,Yes,No,54,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,108.92,5881.68,Yes
CUST00043,Female,0,No,Yes,58,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,51.72,2999.76,No
CUST00044,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.79,211.16,Yes
CUST00045,Female,0,No,No,31,No,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,Two year,No,Electronic check,32.73,1014.63,No
CUST00046,Female,0,No,No,5,No,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),118.63,593.15,No
CUST00047,Male,0,No,Yes,25,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),118.1,2952.5,Yes
CUST00048,Female,0,No,No,36,Yes,No phone service,No,Yes,No,No internet service,No,No,No,One year,No,Credit card (automatic),106.48,3833.28,No
CUST00049,Female,0,Yes,Yes,12,No,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,29.08,348.96,No
CUST00050,Male,0,Yes,Yes,68,No,No,No,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,No,Mailed check,104.16,7082.88,No
CUST00051,Female,0,No,No,24,No,No,DSL,No internet service,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,83.46,2003.04,No
CUST00052,Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),32.88,394.56,No
CUST00053,Female,1,No,Yes,19,No,No phone service,No,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),46.18,877.42,Yes
CUST00054,Male,0,No,Yes,71,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,88.92,6313.32,Yes
CUST00055,Female,1,Yes,No,59,Yes,No phone service,No,No,Yes,No,No internet service,No,No internet service,Two year,No,Mailed check,100.34,5920.06,No
CUST00056,Female,0,Yes,Yes,20,No,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,104.81,2096.2,Yes
CUST00057,Male,0,No,Yes,60,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),74.38,4462.8,No
CUST00058,Male,0,Yes,No,25,No,No,DSL,No,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,73.46,1836.5,No
CUST00059,Male,0,No,No,53,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,88.42,4686.26,No
CUST00060,Male,0,Yes,Yes,41,Yes,No,No,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Credit card (automatic),97.77,4008.57,No
CUST00061,Male,0,Yes,Yes,10,Yes,No phone service,No,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),37.06,370.6,Yes
CUST00062,Male,0,Yes,Yes,36,No,No,DSL,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),93.98,3383.28,Yes
CUST00063,Male,0,Yes,Yes,10,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),54.17,541.7,No
